,season,lg,player,player_id,age,team,pos,g,gs,mp,fg_per_100_poss,fga_per_100_poss,fg_percent,x3p_per_100_poss,x3pa_per_100_poss,x3p_percent,x2p_per_100_poss,x2pa_per_100_poss,x2p_percent,e_fg_percent,ft_per_100_poss,fta_per_100_poss,ft_percent,orb_per_100_poss,drb_per_100_poss,trb_per_100_poss,ast_per_100_poss,stl_per_100_poss,blk_per_100_poss,tov_per_100_poss,pf_per_100_poss,pts_per_100_poss,o_rtg,d_rtg
41,2016,NBA,Steven Adams,adamsst01,22,OKC,C,80,80.0,2014,6.4,10.5,0.613,0.0,0.0,,6.4,10.5,0.613,0.613,2.8,4.8,0.582,5.4,7.7,13.1,1.5,1.0,2.2,2.1,5.5,15.7,123.0,105.0
42,2017,NBA,Steven Adams,adamsst01,23,OKC,C,80,80.0,2389,7.7,13.5,0.571,0.0,0.0,0.0,7.7,13.4,0.572,0.571,3.2,5.3,0.611,5.8,6.8,12.6,1.8,1.8,1.6,3.0,4.0,18.6,114.0,107.0
43,2018,NBA,Steven Adams,adamsst01,24,OKC,C,76,76.0,2487,8.9,14.2,0.629,0.0,0.0,0.0,8.9,14.2,0.631,0.629,3.2,5.7,0.559,7.7,6.0,13.7,1.8,1.8,1.6,2.6,4.3,21.1,125.0,107.0
44,2019,NBA,Steven Adams,adamsst01,25,OKC,C,80,80.0,2669,8.4,14.1,0.595,0.0,0.0,0.0,8.4,14.1,0.596,0.595,2.6,5.1,0.5,6.8,6.5,13.3,2.2,2.0,1.3,2.4,3.6,19.4,120.0,106.0
45,2020,NBA,Steven Adams,adamsst01,26,OKC,C,63,63.0,1680,8.2,13.8,0.592,0.0,0.1,0.333,8.2,13.7,0.594,0.593,3.4,5.8,0.582,6.0,10.9,16.9,4.2,1.5,1.9,2.7,3.5,19.8,122.0,106.0
46,2021,NBA,Steven Adams,adamsst01,27,NOP,C,58,58.0,1605,5.6,9.2,0.614,0.0,0.1,0.0,5.6,9.1,0.62,0.614,1.8,4.0,0.444,6.4,9.0,15.4,3.3,1.6,1.1,2.3,3.4,13.1,122.0,112.0
47,2022,NBA,Steven Adams,adamsst01,28,MEM,C,76,75.0,1999,5.0,9.2,0.547,0.0,0.0,0.0,5.0,9.2,0.548,0.547,2.6,4.8,0.543,8.4,9.8,18.2,6.1,1.6,1.4,2.8,3.7,12.6,125.0,108.0
48,2023,NBA,Steven Adams,adamsst01,29,MEM,C,42,42.0,1133,6.6,11.0,0.597,0.0,0.0,0.0,6.6,11.0,0.599,0.597,2.0,5.4,0.364,9.0,11.4,20.3,4.1,1.5,1.9,3.3,4.1,15.1,118.0,108.0
49,2025,NBA,Steven Adams,adamsst01,31,HOU,C,58,3.0,794,5.6,10.2,0.545,0.0,0.1,0.0,5.6,10.1,0.552,0.545,2.6,5.7,0.462,10.2,9.9,20.0,4.0,1.3,1.7,3.3,3.7,13.8,118.0,109.0
50,2018,NBA,Bam Adebayo,adebaba01,20,MIA,C,69,19.0,1368,6.4,12.5,0.512,0.0,0.3,0.0,6.4,12.2,0.523,0.512,4.7,6.6,0.721,4.3,9.7,14.0,3.7,1.2,1.5,2.4,5.1,17.5,116.0,105.0
51,2019,NBA,Bam Adebayo,adebaba01,21,MIA,C,82,28.0,1913,7.2,12.4,0.576,0.1,0.4,0.2,7.1,12.0,0.588,0.579,4.2,5.8,0.735,4.2,11.0,15.2,4.7,1.8,1.7,3.1,5.2,18.6,120.0,104.0
52,2020,NBA,Bam Adebayo,adebaba01,22,MIA,PF,72,72.0,2417,8.9,16.0,0.557,0.0,0.3,0.143,8.8,15.7,0.564,0.558,5.3,7.7,0.691,3.6,11.3,14.8,7.4,1.7,1.9,4.1,3.7,23.1,116.0,106.0
53,2021,NBA,Bam Adebayo,adebaba01,23,MIA,C,64,64.0,2143,10.6,18.5,0.57,0.0,0.2,0.25,10.5,18.4,0.573,0.571,6.6,8.2,0.799,3.3,10.0,13.3,8.0,1.7,1.5,3.9,3.4,27.7,122.0,108.0
54,2022,NBA,Bam Adebayo,adebaba01,24,MIA,C,56,56.0,1825,11.1,20.0,0.557,0.0,0.2,0.0,11.1,19.8,0.562,0.557,7.0,9.3,0.753,3.8,11.7,15.5,5.2,2.2,1.2,4.1,4.7,29.3,117.0,104.0
55,2023,NBA,Bam Adebayo,adebaba01,25,MIA,C,75,75.0,2598,11.6,21.4,0.54,0.0,0.2,0.083,11.5,21.2,0.545,0.541,6.2,7.7,0.806,3.5,9.7,13.2,4.6,1.7,1.2,3.6,4.0,29.3,115.0,111.0
56,2024,NBA,Bam Adebayo,adebaba01,26,MIA,C,71,71.0,2416,10.9,21.0,0.521,0.3,0.9,0.357,10.6,20.1,0.528,0.529,6.0,8.0,0.755,3.3,11.9,15.2,5.7,1.7,1.4,3.3,3.3,28.2,115.0,109.0
57,2025,NBA,Bam Adebayo,adebaba01,27,MIA,C,78,78.0,2674,10.1,20.8,0.485,1.5,4.1,0.357,8.6,16.6,0.517,0.521,4.7,6.1,0.765,3.5,10.5,14.0,6.3,1.8,1.0,3.0,3.0,26.3,115.0,110.0
58,2019,NBA,Deng Adel,adelde01,21,CLE,SF,19,3.0,194,2.8,9.2,0.306,1.5,5.9,0.261,1.3,3.3,0.385,0.389,1.0,1.0,1.0,0.8,4.1,4.9,1.3,0.3,1.0,1.5,3.3,8.2,85.0,121.0
59,2011,NBA,Jeff Adrien,adrieje01,24,GSW,PF,23,0.0,196,5.9,13.9,0.426,0.0,0.0,,5.9,13.9,0.426,0.426,2.8,4.9,0.579,5.9,9.0,15.0,2.6,1.0,1.3,2.3,7.2,14.7,102.0,110.0
60,2012,NBA,Jeff Adrien,adrieje01,25,HOU,PF,8,0.0,63,5.8,13.3,0.438,0.0,0.0,,5.8,13.3,0.438,0.438,5.8,10.0,0.583,4.2,14.1,18.3,0.8,0.0,1.7,1.7,10.8,17.5,106.0,103.0
61,2013,NBA,Jeff Adrien,adrieje01,26,CHA,PF,52,5.0,713,5.3,12.4,0.429,0.0,0.1,0.0,5.3,12.2,0.434,0.429,4.8,7.4,0.65,5.0,9.4,14.4,2.7,1.3,2.0,2.4,5.9,15.4,105.0,109.0
62,2014,NBA,Jeff Adrien,adrieje01,27,2TM,PF,53,12.0,961,7.8,14.9,0.52,0.0,0.0,,7.8,14.9,0.52,0.52,4.1,6.5,0.639,5.5,11.1,16.6,2.1,1.3,2.0,2.1,5.9,19.7,114.0,106.0
63,2015,NBA,Jeff Adrien,adrieje01,28,MIN,PF,17,0.0,215,4.5,10.4,0.432,0.0,0.0,,4.5,10.4,0.432,0.432,5.2,9.0,0.579,5.4,12.8,18.2,3.5,0.9,2.1,2.1,7.1,14.2,109.0,108.0
64,2008,NBA,Arron Afflalo,afflaar01,22,DET,SG,75,9.0,970,5.6,13.7,0.411,0.6,2.7,0.208,5.0,10.9,0.461,0.432,3.9,4.9,0.782,2.0,5.7,7.8,2.9,1.8,0.5,1.9,4.7,15.6,104.0,104.0
65,2009,NBA,Arron Afflalo,afflaar01,23,DET,SG,74,8.0,1234,5.9,13.5,0.437,1.9,4.8,0.402,3.9,8.7,0.456,0.508,2.6,3.2,0.817,1.3,4.7,6.0,2.0,1.3,0.6,1.9,6.5,16.3,107.0,110.0
66,2010,NBA,Arron Afflalo,afflaar01,24,DEN,SG,82,75.0,2221,6.2,13.3,0.465,2.5,5.7,0.434,3.7,7.7,0.488,0.557,1.6,2.2,0.735,1.3,4.4,5.7,3.1,1.0,0.7,1.7,5.1,16.5,114.0,111.0
67,2011,NBA,Arron Afflalo,afflaar01,25,DEN,SG,69,69.0,2324,6.7,13.5,0.498,2.3,5.4,0.423,4.5,8.2,0.546,0.581,3.0,3.5,0.847,1.0,4.5,5.4,3.6,0.7,0.7,1.5,3.3,18.7,123.0,111.0
68,2012,NBA,Arron Afflalo,afflaar01,26,DEN,SG,62,62.0,2086,8.0,17.1,0.471,2.1,5.4,0.398,5.9,11.7,0.504,0.534,4.8,6.0,0.798,1.0,3.8,4.8,3.6,0.9,0.3,2.1,3.3,23.0,116.0,111.0
69,2013,NBA,Arron Afflalo,afflaar01,27,ORL,SF,64,64.0,2307,9.0,20.4,0.439,1.6,5.4,0.3,7.3,15.0,0.489,0.478,4.3,5.0,0.857,0.7,4.7,5.4,4.7,0.9,0.2,3.1,3.1,23.9,102.0,112.0
70,2014,NBA,Arron Afflalo,afflaar01,28,ORL,SG,73,73.0,2552,9.3,20.3,0.459,2.6,6.0,0.427,6.7,14.3,0.473,0.522,5.5,6.7,0.815,0.6,4.6,5.3,5.0,0.7,0.1,2.9,2.7,26.7,110.0,112.0
71,2015,NBA,Arron Afflalo,afflaar01,29,2TM,SG,78,72.0,2502,7.5,17.8,0.424,2.4,6.7,0.354,5.2,11.1,0.466,0.491,3.4,4.0,0.843,0.5,4.4,5.0,2.6,0.8,0.1,2.3,3.4,20.8,103.0,111.0
72,2016,NBA,Arron Afflalo,afflaar01,30,NYK,SG,71,57.0,2371,7.7,17.3,0.443,2.0,5.2,0.382,5.7,12.2,0.469,0.5,2.4,2.8,0.84,0.5,5.3,5.8,3.1,0.5,0.2,1.8,3.1,19.7,105.0,112.0
73,2017,NBA,Arron Afflalo,afflaar01,31,SAC,SG,61,45.0,1580,5.9,13.5,0.44,2.0,4.8,0.411,3.9,8.6,0.457,0.514,2.7,3.0,0.892,0.3,3.7,4.0,2.5,0.7,0.2,1.3,3.3,16.5,109.0,116.0
74,2018,NBA,Arron Afflalo,afflaar01,32,ORL,SG,53,3.0,682,4.7,11.6,0.401,1.9,5.0,0.386,2.7,6.6,0.413,0.485,1.6,1.9,0.846,0.3,4.5,4.7,2.2,0.3,0.6,1.5,4.0,12.8,98.0,115.0
75,2023,NBA,Ochai Agbaji,agbajoc01,22,UTA,SG,59,22.0,1209,6.5,15.3,0.427,3.2,9.0,0.355,3.3,6.2,0.532,0.532,2.2,2.7,0.812,1.7,3.1,4.8,2.6,0.6,0.6,1.6,3.9,18.5,115.0,121.0
76,2024,NBA,Ochai Agbaji,agbajoc01,23,2TM,SG,78,28.0,1641,5.2,12.7,0.411,1.8,6.2,0.294,3.4,6.5,0.523,0.483,1.1,1.6,0.661,2.2,4.2,6.4,2.4,1.4,1.3,1.9,3.4,13.4,102.0,121.0
77,2025,NBA,Ochai Agbaji,agbajoc01,24,TOR,SG,64,45.0,1739,7.4,14.8,0.498,2.8,7.0,0.399,4.6,7.8,0.587,0.593,0.9,1.3,0.708,1.7,5.0,6.7,2.7,1.6,0.8,1.5,3.5,18.5,117.0,116.0
