season,lg,player,player_id,age,team,pos,g,gs,mp,fg_per_36_min,fga_per_36_min,fg_percent,x3p_per_36_min,x3pa_per_36_min,x3p_percent,x2p_per_36_min,x2pa_per_36_min,x2p_percent,e_fg_percent,ft_per_36_min,fta_per_36_min,ft_percent,orb_per_36_min,drb_per_36_min,trb_per_36_min,ast_per_36_min,stl_per_36_min,blk_per_36_min,tov_per_36_min,pf_per_36_min,pts_per_36_min
2018,NBA,D.J. Augustin,augusdj01,30.0,ORL,PG,75,36.0,1760,5.0,11.0,0.452,2.3,5.6,0.419,2.7,5.5,0.485,0.557,3.4,3.9,0.868,0.6,2.7,3.3,5.9,1.1,0.0,2.5,1.9,15.7
2019,NBA,D.J. Augustin,augusdj01,31.0,ORL,PG,81,81.0,2269,5.0,10.7,0.47,2.1,4.9,0.421,3.0,5.8,0.511,0.566,2.9,3.3,0.866,0.7,2.6,3.2,6.8,0.8,0.1,2.0,1.8,15.0
2020,NBA,D.J. Augustin,augusdj01,32.0,ORL,PG,57,13.0,1420,4.7,11.7,0.399,1.8,5.1,0.348,2.9,6.6,0.438,0.475,4.1,4.6,0.89,0.6,2.5,3.1,6.6,0.9,0.0,2.2,1.8,15.2
2021,NBA,D.J. Augustin,augusdj01,33.0,2TM,PG,57,12.0,1129,4.3,10.9,0.394,2.6,6.9,0.382,1.7,4.0,0.413,0.515,2.7,3.0,0.904,0.6,2.4,3.0,6.0,0.9,0.0,2.1,1.8,14.0
2022,NBA,D.J. Augustin,augusdj01,34.0,2TM,PG,55,2.0,883,3.8,9.1,0.423,2.8,6.7,0.415,1.1,2.4,0.448,0.577,1.5,1.8,0.884,0.4,2.3,2.8,4.4,0.7,0.0,2.3,1.6,12.0
2007,NBA,James Augustine,augusja01,22.0,ORL,PF,2,0.0,7,5.1,15.4,0.333,0.0,0.0,,5.1,15.4,0.333,0.333,0.0,0.0,,5.1,10.3,15.4,10.3,0.0,0.0,0.0,10.3,10.3
2008,NBA,James Augustine,augusja01,23.0,ORL,PF,25,0.0,149,4.3,8.2,0.529,0.0,0.0,,4.3,8.2,0.529,0.529,1.0,1.9,0.5,3.9,3.4,7.2,0.5,1.2,0.5,1.4,4.3,9.7
2021,NBA,Deni Avdija,avdijde01,20.0,WAS,SF,54,32.0,1257,3.7,8.9,0.417,1.5,4.8,0.315,2.2,4.1,0.535,0.502,0.8,1.3,0.644,0.6,6.9,7.5,1.8,0.9,0.4,0.9,4.0,9.8
2022,NBA,Deni Avdija,avdijde01,21.0,WAS,SF,82,8.0,1984,4.5,10.5,0.432,1.5,4.7,0.317,3.0,5.8,0.525,0.503,1.9,2.5,0.757,0.9,6.8,7.7,3.0,1.1,0.8,1.6,3.4,12.4
2023,NBA,Deni Avdija,avdijde01,22.0,WAS,SF,76,40.0,2020,4.5,10.3,0.437,1.2,4.1,0.297,3.3,6.2,0.53,0.497,2.2,2.9,0.739,1.3,7.4,8.7,3.8,1.2,0.5,2.2,3.7,12.4
2024,NBA,Deni Avdija,avdijde01,23.0,WAS,SF,75,75.0,2257,6.5,12.8,0.506,1.4,3.7,0.374,5.1,9.1,0.56,0.56,3.2,4.4,0.74,1.3,7.3,8.6,4.6,1.0,0.6,2.6,3.0,17.6
