season,lg,player,player_id,age,team,pos,g,gs,mp,fg_per_36_min,fga_per_36_min,fg_percent,x3p_per_36_min,x3pa_per_36_min,x3p_percent,x2p_per_36_min,x2pa_per_36_min,x2p_percent,e_fg_percent,ft_per_36_min,fta_per_36_min,ft_percent,orb_per_36_min,drb_per_36_min,trb_per_36_min,ast_per_36_min,stl_per_36_min,blk_per_36_min,tov_per_36_min,pf_per_36_min,pts_per_36_min
2009,NBA,Darrell Arthur,arthuda01,20.0,MEM,PF,76,64.0,1464,4.7,10.7,0.438,0.0,0.0,0.0,4.7,10.7,0.44,0.438,1.0,1.5,0.667,2.7,5.9,8.5,1.1,1.3,1.3,1.2,5.1,10.4
2010,NBA,Darrell Arthur,arthuda01,21.0,MEM,PF,32,1.0,457,5.0,11.5,0.432,0.0,0.1,0.0,5.0,11.4,0.434,0.432,1.3,2.4,0.567,2.9,5.8,8.7,1.2,1.1,1.1,1.7,4.7,11.3
2011,NBA,Darrell Arthur,arthuda01,22.0,MEM,PF,80,9.0,1609,6.9,14.0,0.497,0.0,0.1,0.0,6.9,13.8,0.502,0.497,2.4,3.0,0.813,2.6,5.1,7.7,1.2,1.2,1.4,2.0,5.1,16.3
2013,NBA,Darrell Arthur,arthuda01,24.0,MEM,PF,59,3.0,970,6.0,13.3,0.451,0.2,0.7,0.278,5.8,12.7,0.46,0.458,1.2,1.7,0.717,2.5,3.7,6.3,1.2,0.9,1.2,1.6,4.7,13.4
2014,NBA,Darrell Arthur,arthuda01,25.0,DEN,SF,68,1.0,1161,5.0,12.7,0.395,0.7,2.0,0.375,4.3,10.7,0.399,0.424,1.6,1.9,0.855,1.6,4.9,6.5,1.9,1.2,1.5,1.8,5.7,12.4
2015,NBA,Darrell Arthur,arthuda01,26.0,DEN,PF,58,4.0,988,5.6,14.0,0.404,0.9,4.0,0.236,4.7,10.0,0.471,0.438,1.7,2.1,0.78,1.9,4.3,6.2,2.1,1.7,0.9,1.7,5.3,13.9
2016,NBA,Darrell Arthur,arthuda01,27.0,DEN,PF,70,16.0,1516,5.2,11.6,0.452,1.1,2.8,0.385,4.2,8.8,0.473,0.498,0.9,1.3,0.755,2.0,4.9,7.0,2.3,1.3,1.1,1.6,4.4,12.5
2017,NBA,Darrell Arthur,arthuda01,28.0,DEN,PF,41,7.0,639,5.4,12.1,0.442,3.0,6.6,0.453,2.4,5.5,0.429,0.565,1.1,1.2,0.864,1.4,4.9,6.3,2.4,1.1,1.2,2.0,4.3,14.8
2018,NBA,Darrell Arthur,arthuda01,29.0,DEN,PF,19,1.0,141,5.6,12.0,0.468,2.0,5.9,0.348,3.6,6.1,0.583,0.553,0.5,0.8,0.667,0.8,3.1,3.8,2.3,2.0,0.8,3.8,5.6,13.8
2018,NBA,Jamel Artis,artisja01,25.0,ORL,SG,15,1.0,279,4.0,10.2,0.392,1.0,3.7,0.276,3.0,6.5,0.46,0.443,0.9,1.5,0.583,0.5,4.4,4.9,2.3,0.3,0.4,1.0,1.4,9.9
2011,NBA,Ömer Aşık,asikom01,24.0,CHI,C,82,0.0,989,2.8,5.1,0.553,0.0,0.0,,2.8,5.1,0.553,0.553,2.7,5.3,0.503,4.1,7.1,11.1,1.2,0.7,2.0,2.3,5.6,8.3
2012,NBA,Ömer Aşık,asikom01,25.0,CHI,C,66,2.0,971,2.9,5.8,0.506,0.0,0.0,,2.9,5.8,0.506,0.506,1.7,3.8,0.456,4.7,8.3,13.0,1.2,1.1,2.5,2.5,4.5,7.6
2013,NBA,Ömer Aşık,asikom01,26.0,HOU,C,82,82.0,2464,4.9,9.0,0.541,0.0,0.0,0.0,4.9,9.0,0.542,0.541,2.5,4.4,0.562,4.0,9.9,14.0,1.1,0.7,1.3,2.5,3.3,12.2
2014,NBA,Ömer Aşık,asikom01,27.0,HOU,C,48,19.0,968,3.8,7.1,0.532,0.0,0.0,,3.8,7.1,0.532,0.532,2.9,4.7,0.619,3.8,10.3,14.1,0.9,0.5,1.4,2.2,3.4,10.4
2015,NBA,Ömer Aşık,asikom01,28.0,NOP,C,76,76.0,1982,3.9,7.5,0.517,0.0,0.0,,3.9,7.5,0.517,0.517,2.4,4.1,0.582,4.4,9.2,13.6,1.3,0.5,1.0,1.7,2.6,10.1
2016,NBA,Ömer Aşık,asikom01,29.0,NOP,C,68,64.0,1178,3.2,6.0,0.533,0.0,0.0,,3.2,6.0,0.533,0.533,1.9,3.4,0.545,3.7,9.0,12.7,0.8,0.6,0.7,1.8,3.8,8.2
2017,NBA,Ömer Aşık,asikom01,30.0,NOP,C,31,19.0,482,2.3,4.9,0.477,0.0,0.0,,2.3,4.9,0.477,0.477,1.7,2.9,0.59,3.6,8.6,12.2,1.1,0.4,0.7,1.0,3.8,6.3
2018,NBA,Ömer Aşık,asikom01,31.0,2TM,C,18,0.0,182,1.8,4.4,0.409,0.0,0.0,,1.8,4.4,0.409,0.409,0.8,2.6,0.308,1.8,7.5,9.3,0.6,0.4,0.8,1.8,4.0,4.4
2004,NBA,Chucky Atkins,atkinch01,29.0,2TM,PG,64,24.0,1544,4.5,11.3,0.397,1.9,5.6,0.336,2.6,5.7,0.457,0.48,1.7,2.3,0.753,0.2,2.0,2.2,5.2,1.0,0.0,2.1,2.4,12.5
2005,NBA,Chucky Atkins,atkinch01,30.0,LAL,PG,82,82.0,2903,4.8,11.3,0.426,2.2,5.6,0.387,2.6,5.6,0.466,0.523,2.0,2.5,0.803,0.4,2.1,2.4,4.4,0.9,0.0,1.9,2.2,13.8
2006,NBA,Chucky Atkins,atkinch01,31.0,2TM,PG,71,41.0,1713,4.7,12.0,0.394,2.0,5.8,0.354,2.7,6.3,0.431,0.479,2.7,3.4,0.791,0.5,2.0,2.5,4.2,0.9,0.0,1.8,3.2,14.2
2007,NBA,Chucky Atkins,atkinch01,32.0,MEM,PG,75,23.0,2064,5.4,12.5,0.434,2.0,5.3,0.379,3.4,7.1,0.474,0.515,4.4,5.4,0.81,0.3,2.1,2.4,6.0,0.9,0.1,2.2,2.4,17.2
2008,NBA,Chucky Atkins,atkinch01,33.0,DEN,SG,24,0.0,352,4.3,12.5,0.344,2.6,8.1,0.316,1.7,4.4,0.395,0.447,0.4,0.9,0.444,0.3,2.9,3.2,4.8,0.9,0.1,1.0,2.8,11.6
2009,NBA,Chucky Atkins,atkinch01,34.0,2TM,PG,33,0.0,412,3.0,9.9,0.301,1.3,5.0,0.263,1.7,4.9,0.339,0.367,1.3,1.4,0.938,0.4,1.7,2.1,5.2,0.9,0.2,2.0,2.4,8.6
2010,NBA,Chucky Atkins,atkinch01,35.0,DET,PG,40,11.0,644,3.2,8.8,0.363,1.2,4.1,0.301,2.0,4.7,0.417,0.433,1.4,1.5,0.926,0.3,1.3,1.6,5.1,1.0,0.0,1.8,3.0,9.0
2004,NBA,Stacey Augmon,augmost01,35.0,NOH,SF,69,24.0,1416,3.6,8.8,0.412,0.0,0.2,0.143,3.6,8.6,0.418,0.414,2.8,3.5,0.791,1.3,3.1,4.4,2.2,1.4,0.4,1.9,2.9,10.1
2005,NBA,Stacey Augmon,augmost01,36.0,ORL,SF,55,7.0,663,3.7,9.1,0.407,0.0,0.0,,3.7,9.1,0.407,0.407,3.1,4.2,0.74,2.4,2.9,5.4,2.0,1.2,0.4,1.7,4.5,10.5
2006,NBA,Stacey Augmon,augmost01,37.0,ORL,SF,36,3.0,385,2.3,6.8,0.342,0.0,0.0,,2.3,6.8,0.342,0.342,2.0,2.8,0.7,1.7,3.3,5.0,2.2,1.1,0.6,1.0,3.7,6.6
2009,NBA,D.J. Augustin,augusdj01,21.0,CHA,PG,72,12.0,1908,5.0,11.7,0.43,2.0,4.6,0.439,3.0,7.1,0.424,0.517,3.9,4.4,0.893,0.3,2.2,2.5,4.7,0.8,0.0,2.2,2.6,16.0
2010,NBA,D.J. Augustin,augusdj01,22.0,CHA,PG,80,2.0,1472,4.1,10.6,0.386,1.7,4.4,0.393,2.4,6.3,0.381,0.467,2.5,3.2,0.779,0.3,2.1,2.4,4.7,1.1,0.1,1.8,3.1,12.4
2011,NBA,D.J. Augustin,augusdj01,23.0,CHA,PG,82,82.0,2757,5.2,12.5,0.416,1.4,4.3,0.333,3.8,8.2,0.461,0.474,3.5,3.9,0.906,0.5,2.4,2.9,6.5,0.7,0.0,2.0,2.0,15.4
2012,NBA,D.J. Augustin,augusdj01,24.0,CHA,PG,48,46.0,1408,4.7,12.5,0.376,1.6,4.6,0.341,3.1,7.9,0.396,0.438,2.7,3.1,0.875,0.6,2.2,2.8,7.8,0.9,0.0,2.8,1.7,13.6
2013,NBA,D.J. Augustin,augusdj01,25.0,IND,PG,76,5.0,1226,3.0,8.6,0.35,2.0,5.6,0.353,1.1,3.1,0.346,0.464,2.4,2.9,0.838,0.6,2.1,2.7,5.0,1.0,0.1,2.0,1.9,10.5
2014,NBA,D.J. Augustin,augusdj01,26.0,2TM,PG,71,9.0,1939,5.5,13.3,0.415,2.5,6.2,0.401,3.1,7.2,0.427,0.508,3.7,4.2,0.885,0.3,2.1,2.4,5.8,1.0,0.1,2.3,2.7,17.3
2015,NBA,D.J. Augustin,augusdj01,27.0,2TM,PG,82,14.0,1964,4.7,11.9,0.399,1.5,4.5,0.337,3.2,7.4,0.436,0.463,3.3,3.8,0.868,0.4,2.6,3.0,6.5,0.9,0.1,2.7,1.7,14.2
2016,NBA,D.J. Augustin,augusdj01,28.0,2TM,PG,62,0.0,1178,4.5,10.7,0.423,2.1,5.1,0.405,2.4,5.6,0.44,0.52,3.1,3.9,0.805,0.2,2.7,2.9,6.1,1.2,0.1,2.6,2.6,14.3
2017,NBA,D.J. Augustin,augusdj01,29.0,ORL,PG,78,20.0,1538,4.6,12.1,0.377,2.2,6.4,0.347,2.3,5.7,0.412,0.469,3.1,3.8,0.814,0.4,2.4,2.7,4.9,0.7,0.0,2.1,2.4,14.4
